##|10:28:31.684 [go] Job Started: 2023-03-08 10:28:31 GMT
##|10:28:31.684 
pr|10:28:31.684 [go] Start to prepare pipeline1/5/tomcat_setup/1/tomcat_setup on d32686145094 [/go]
pr|10:28:31.807 [go] Start to update materials.
pr|10:28:31.807 
pr|10:28:31.807 [go] Start updating files at revision 9feacb130985900d249fd01e4b5433c1993cead8 from https://github.com/iamvickyav/spring-boot-h2-war-tomcat.git
pr|10:28:31.912 [GIT] Fetching changes
pr|10:28:32.560 [GIT] Performing git gc
pr|10:28:32.563 [GIT] Reset working directory pipelines/pipeline1
pr|10:28:32.563 [GIT] Cleaning all unversioned files in working copy
pr|10:28:32.600 [GIT] Cleaning submodule configurations in .git/config
pr|10:28:32.603 [GIT] Updating working copy to revision 9feacb130985900d249fd01e4b5433c1993cead8
pr|10:28:32.610 HEAD is now at 9feacb1 Update Jenkinsfile
pr|10:28:32.611 [GIT] Removing modified files in submodules
pr|10:28:32.746 [GIT] Cleaning all unversioned files in working copy
pr|10:28:32.783 [go] Done.
pr|10:28:32.783 
pr|10:28:32.783 [go] overriding environment variable 'GO_SERVER_URL' with value 'http://172.20.10.3:8153/go'
pr|10:28:32.783 [go] setting environment variable 'GO_PIPELINE_GROUP_NAME' to value 'defaultGroup'
pr|10:28:32.783 [go] setting environment variable 'GO_TRIGGER_USER' to value 'anonymous'
pr|10:28:32.783 [go] setting environment variable 'GO_PIPELINE_NAME' to value 'pipeline1'
pr|10:28:32.783 [go] setting environment variable 'GO_PIPELINE_COUNTER' to value '5'
pr|10:28:32.783 [go] setting environment variable 'GO_PIPELINE_LABEL' to value '5'
pr|10:28:32.783 [go] setting environment variable 'GO_STAGE_NAME' to value 'tomcat_setup'
pr|10:28:32.783 [go] setting environment variable 'GO_STAGE_COUNTER' to value '1'
pr|10:28:32.783 [go] setting environment variable 'GO_JOB_NAME' to value 'tomcat_setup'
pr|10:28:32.783 [go] setting environment variable 'GO_REVISION' to value '9feacb130985900d249fd01e4b5433c1993cead8'
pr|10:28:32.783 [go] setting environment variable 'GO_TO_REVISION' to value '9feacb130985900d249fd01e4b5433c1993cead8'
pr|10:28:32.783 [go] setting environment variable 'GO_FROM_REVISION' to value '9feacb130985900d249fd01e4b5433c1993cead8'
pr|10:28:32.783 [go] setting environment variable 'GO_MATERIAL_URL' to value 'https://github.com/iamvickyav/spring-boot-h2-war-tomcat.git'
pr|10:28:32.783 [go] setting environment variable 'GO_MATERIAL_BRANCH' to value 'master'
pr|10:28:32.784 [go] setting environment variable 'GO_MATERIAL_HAS_CHANGED' to value 'false'
pr|10:28:32.784 
##|10:28:32.833 [go] Start to build pipeline1/5/tomcat_setup/1/tomcat_setup on d32686145094 [/go]
!!|10:28:32.967 [go] Task: /bin/bash pwd
&2|10:28:32.972 /bin/pwd: /bin/pwd: cannot execute binary file
?1|10:28:33.072 [go] Task status: failed (105 ms) (exit code: 126)
j1|10:28:33.228 [go] Current job status: failed
##|10:28:33.361 [go] Start to create properties pipeline1/5/tomcat_setup/1/tomcat_setup on d32686145094 [/go]
ar|10:28:33.361 [go] Start to upload pipeline1/5/tomcat_setup/1/tomcat_setup on d32686145094 [/go]
ex|10:28:33.364 [go] Job completed pipeline1/5/tomcat_setup/1/tomcat_setup on d32686145094 [/go]
